,LF1,UH1,UH2,P1,P2,P4,P5,OE2,MS2,S1,S2,P1,LC1,HS1,HS2,HS3,HS4,HS5
SMC1,,,,,,,,,,,,,,X,X,,, 
SMC2,,,,,,,,,,,,,,X,X,,,
SMC3,,,,,,,,,,,,,,X,,,,
SMC4,,,,,,,,,,,,,,X,,,,
SMC5,,,,,,,,,,,,,,X,,,,
SMC6,,,,,,,,,,,,,,,,,,X
CV1,,,,,,,,X,,,,,,,,,,
CV2,,,,,,,,,,,,,,,,,,
CV3,,,,,,,,,,,,,,,,,,
CV4,,,,,,,,,,,,,,,,,,
CV5,,,,,,,,,,,,,,,,,,
CV6,,,,,,,,,,,,,,,,,,
CV7,,,,,,,,,,,,,,,,,,
CV8,,,,,,,,,,,,,,,,,,
CV9,,,,,,,,,,,,,,,,,,
CV10,,,,,,,,,,,,,,,,,,
SR1,,,,,,,,,,,,,,X,X,,,
SR2,,,,,,,,,,,,,,X,,,,
SR3,,,,,,,,,,,,,,X,,,,
SR4,,,,,,,,,,,,,,,,,,
SR5,,,,,,,,,,,,,,,,,,
SM1,,,,,,,,,,,,,,X,,,,
SM2,,,,,,,,,,,,,,X,X,,,
SM3,,,,,,,,,,,,,,X,,,,
DS1,,,,,,X,,,,X,,,,,,,,
DS2,,,,,,,,,,,,,,X,X,,,
DS3,,,,,X,,,,,,,,,,,,,
DS4,,,,,,,,,,,,,,,,,,
DS5,,,,,,,,,X,,X,,,,,,,
UI1,X,X,X,,X,X,X,,X,X,,X,,,,,,
UI2,X,X,X,X,,,,,,,,,,,,,,
UI3,,,X,X,,,,,,,,,,,,,,
UI4,,,X,,,X,,,,X,,,,,,,,
UI5,X,X,X,X,,,,,,,,,,,,,,
UI6,X,X,X,X,,,,,X,,,,,,,,,
SS1,,,,,,,,,,,,,,,X,,,
SS2,,,,,,,,,,,,,,,X,,,
SS3,,,,,,,,,,,,,,,X,,,
SS4,,,,,,,,,,,,,,,X,,,
SS5,,,,,,,,,,,,,,,X,,,
SS6,,,,,,,,,,,,,,,,,,
SS7,,,,,,,,,,,,,,,,,,
SS8,,,,,,,,,,,,,,,,,,
SS9,,,,,,,,,,,,,,,,,,
SS10,,,,,,,,,,,,,,,,,,
SS11,,,,,,,,,,,,,,,,,,
SS12,,,,,X,X,,,,X,,,,,,,,
SS13,,,,,X,X,,,,X,,,,X,X,,,
SS14,,,,,,X,,,,X,,,,X,X,,,
SS15,,,,,X,,,,,,,,,,,,,
SS16,,,,,,,,,,,,,,,,,,
SS17,,,,,,,,,,,,,,X,X,,,
SS18,,,,,,,,,,,,,,X,X,,,
SS19,,,,,,,,,,,,,,X,,,,
SS20,,,,,,,,,,,,,,X,,,,
SS21,,,,,,,,,,,,,,X,X,,,
SS22,,,,,,,,,,,,,,X,X,,,